EW,NS,CCD 
-3.646513,-3.727898,01
-3.647394,-2.001758,01
-1.920848,-2.004785,01
-1.920383,-3.731333,01
-1.790386,-3.729368,02
-1.790817,-2.002803,02
-0.064115,-2.003812,02
-0.064099,-3.730512,02
0.062113,-3.730976,03
0.062129,-2.004276,03
1.788830,-2.003269,03
1.788400,-3.729834,03
1.918441,-3.731505,04
1.918905,-2.004957,04
3.645452,-2.001932,04
3.644571,-3.728073,04
-3.646416,-1.816060,05
-3.646708,-0.089749,05
-1.919998,-0.090622,05
-1.919844,-1.817335,05
-1.789454,-1.816611,06
-1.789597,-0.089881,06
-0.062733,-0.090172,06
-0.062727,-1.817035,06
0.061814,-1.817472,07
0.061819,-0.090609,07
1.788683,-0.090319,07
1.788540,-1.817048,07
1.918871,-1.817584,08
1.919025,-0.090871,08
3.645736,-0.089998,08
3.645443,-1.816309,08
-3.646562,0.090679,09
-3.646270,1.816989,09
-1.919698,1.818266,09
-1.919852,0.091552,09
-1.789413,0.091155,10
-1.789270,1.817884,10
-0.062544,1.818309,10
-0.062549,0.091446,10
0.062876,0.090876,11
0.062871,1.817739,11
1.789598,1.817315,11
1.789741,0.090586,11
1.919874,0.091290,12
1.919720,1.818003,12
3.646292,1.816728,12
3.646584,0.090417,12
-3.645853,2.002667,13
-3.644972,3.728808,13
-1.918842,3.732241,13
-1.919306,2.005694,13
-1.789367,2.003694,14
-1.788937,3.730258,14
-0.062651,3.731401,14
-0.062666,2.004701,14
0.063143,2.003834,15
0.063128,3.730533,15
1.789415,3.729391,15
1.789845,2.002826,15
1.919878,2.004674,16
1.919413,3.731221,16
3.645543,3.727789,16
3.646424,2.001648,16
