EW,NS,CCD,Quad
2.781842,-2.866617,1,0
2.782178,-2.003445,1,0
3.645452,-2.001932,1,0
3.645011,-2.865003,1,0
1.918673,-2.868231,1,1
1.918905,-2.004957,1,1
2.782178,-2.003445,1,1
2.781842,-2.866617,1,1
1.918441,-3.731505,1,2
1.918673,-2.868231,1,2
2.781842,-2.866617,1,2
2.781506,-3.729789,1,2
2.781506,-3.729789,1,3
2.781842,-2.866617,1,3
3.645011,-2.865003,1,3
3.644571,-3.728073,1,3
0.925368,-2.867089,2,4
0.925480,-2.003773,2,4
1.788830,-2.003269,2,4
1.788615,-2.866551,2,4
0.062121,-2.867626,2,5
0.062129,-2.004276,2,5
0.925480,-2.003773,2,5
0.925368,-2.867089,2,5
0.062113,-3.730976,2,6
0.062121,-2.867626,2,6
0.925368,-2.867089,2,6
0.925257,-3.730405,2,6
0.925257,-3.730405,2,7
0.925368,-2.867089,2,7
1.788615,-2.866551,2,7
1.788400,-3.729834,2,7
-0.927354,-2.866624,3,8
-0.927466,-2.003308,3,8
-0.064115,-2.003812,3,8
-0.064107,-2.867162,3,8
-1.790602,-2.866085,3,9
-1.790817,-2.002803,3,9
-0.927466,-2.003308,3,9
-0.927354,-2.866624,3,9
-1.790386,-3.729368,3,10
-1.790602,-2.866085,3,10
-0.927354,-2.866624,3,10
-0.927243,-3.729940,3,10
-0.927243,-3.729940,3,11
-0.927354,-2.866624,3,11
-0.064107,-2.867162,3,11
-0.064099,-3.730512,3,11
-2.783784,-2.866443,4,12
-2.784121,-2.003271,4,12
-1.920848,-2.004785,4,12
-1.920615,-2.868059,4,12
-3.646954,-2.864828,4,13
-3.647394,-2.001758,4,13
-2.784121,-2.003271,4,13
-2.783784,-2.866443,4,13
-3.646513,-3.727898,4,14
-3.646954,-2.864828,4,14
-2.783784,-2.866443,4,14
-2.783448,-3.729616,4,14
-2.783448,-3.729616,4,15
-2.783784,-2.866443,4,15
-1.920615,-2.868059,4,15
-1.920383,-3.731333,4,15
2.782269,-0.953690,5,16
2.782380,-0.090435,5,16
3.645736,-0.089998,5,16
3.645589,-0.953153,5,16
1.918948,-0.954227,5,17
1.919025,-0.090871,5,17
2.782380,-0.090435,5,17
2.782269,-0.953690,5,17
1.918871,-1.817584,5,18
1.918948,-0.954227,5,18
2.782269,-0.953690,5,18
2.782157,-1.816946,5,18
2.782157,-1.816946,5,19
2.782269,-0.953690,5,19
3.645589,-0.953153,5,19
3.645443,-1.816309,5,19
0.925214,-0.953862,6,20
0.925251,-0.090464,6,20
1.788683,-0.090319,6,20
1.788612,-0.953684,6,20
0.061817,-0.954040,6,21
0.061819,-0.090609,6,21
0.925251,-0.090464,6,21
0.925214,-0.953862,6,21
0.061814,-1.817472,6,22
0.061817,-0.954040,6,22
0.925214,-0.953862,6,22
0.925177,-1.817260,6,22
0.925177,-1.817260,6,23
0.925214,-0.953862,6,23
1.788612,-0.953684,6,23
1.788540,-1.817048,6,23
-0.926128,-0.953425,7,24
-0.926165,-0.090026,7,24
-0.062733,-0.090172,7,24
-0.062730,-0.953603,7,24
-1.789526,-0.953246,7,25
-1.789597,-0.089881,7,25
-0.926165,-0.090026,7,25
-0.926128,-0.953425,7,25
-1.789454,-1.816611,7,26
-1.789526,-0.953246,7,26
-0.926128,-0.953425,7,26
-0.926091,-1.816823,7,26
-0.926091,-1.816823,7,27
-0.926128,-0.953425,7,27
-0.062730,-0.953603,7,27
-0.062727,-1.817035,7,27
-2.783241,-0.953442,8,28
-2.783353,-0.090186,8,28
-1.919998,-0.090622,8,28
-1.919921,-0.953978,8,28
-3.646562,-0.952905,8,29
-3.646708,-0.089749,8,29
-2.783353,-0.090186,8,29
-2.783241,-0.953442,8,29
-3.646416,-1.816060,8,30
-3.646562,-0.952905,8,30
-2.783241,-0.953442,8,30
-2.783130,-1.816698,8,30
-2.783130,-1.816698,8,31
-2.783241,-0.953442,8,31
-1.919921,-0.953978,8,31
-1.919844,-1.817335,8,31
2.783117,0.954110,9,32
2.783006,1.817365,9,32
3.646292,1.816728,9,32
3.646438,0.953572,9,32
1.919797,0.954647,9,33
1.919720,1.818003,9,33
2.783006,1.817365,9,33
2.783117,0.954110,9,33
1.919874,0.091290,9,34
1.919797,0.954647,9,34
2.783117,0.954110,9,34
